what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705377410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705379412
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705389699
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1401705389764
opened,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1401705405531
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1401705406090
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705419379
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401705433903
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705436266
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401705455870
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1401705461836
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1401705461932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705463211
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401705464194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705467306
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705480975
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705482399
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705500849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705521713
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705588673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705702083
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1401705702169
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1401705703174
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705706104
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1401705706129
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401705707607
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705979948
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705984858
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401705999837
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706004177
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706081654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706084027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706086322
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706088155
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706113142
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1401706113208
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706115414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706145596
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1401706146971
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1401706147924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706148886
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1401706148908
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401706149756
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706152877
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1401706153010
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706154647
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401706157273
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1401706177497
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1401706183591
